Time,Smoothed_X_Position
0.0,-1.9060695448819187
0.04,-1.9057580085174075
0.08,-1.9052917946258652
0.12,-1.9046189435329273
0.16,-1.9036627648267523
0.2,-1.9023089854728175
0.24,-1.900404784345489
0.28,-1.8977685697761004
0.32,-1.894207214123494
0.36,-1.8895363967908685
0.4,-1.88359961713492
0.44,-1.8762821870048654
0.48,-1.8675179461167493
0.52,-1.8572882235839159
0.56,-1.8456142146697052
0.6,-1.8325450332013695
0.64,-1.8181440256689023
0.68,-1.8024755835488824
0.72,-1.7855940155884755
0.76,-1.767535423485443
0.8,-1.7483131623861459
0.84,-1.7279173282868068
0.88,-1.7063186071115584
0.92,-1.6834765183396865
0.96,-1.6593514608942972
1.0,-1.633919107094627
1.04,-1.607184887540064
1.08,-1.5791959050296636
1.12,-1.5500478066392582
1.16,-1.5198849196471298
1.2,-1.4888931610960252
1.24,-1.45728663225684
1.28,-1.4252900969452789
1.32,-1.3931203511666532
1.36,-1.3609695906299923
1.4,-1.3289933106140015
1.44,-1.2973042292208257
1.48,-1.265972443431673
1.52,-1.235030788633285
1.56,-1.2044834942803846
1.6,-1.1743159297803316
1.64,-1.1445035132644894
1.68,-1.1150185203748189
1.72,-1.085834338727821
1.76,-1.0569274499829104
1.8,-1.0282778879766243
1.84,-0.9998689951004217
1.88,-0.9716870461196435
1.92,-0.94372097459305
1.96,-0.9159622434805718
2.0,-0.8884048553337398
2.04,-0.8610454641853008
2.08,-0.8338834801550252
2.12,-0.8069210212034409
2.16,-0.7801626126915412
2.2,-0.7536146325499719
2.24,-0.7272845991018557
2.28,-0.7011804655349019
2.32,-0.6753101116239941
2.36,-0.6496812209883142
2.4,-0.624301656326303
2.44,-0.5991802260730756
2.48,-0.5743274619777268
2.52,-0.5497559258679057
2.56,-0.525479726922813
2.6,-0.5015132199182848
2.64,-0.47786910434983454
2.68,-0.4545562968614943
2.72,-0.43157800235030574
2.76,-0.4089303700328637
2.8,-0.3866020123554446
2.84,-0.36457451245938743
2.88,-0.3428238828075365
2.92,-0.32132279203637915
2.96,-0.3000432340556821
3.0,-0.2789591714963578
3.04,-0.2580486427932258
3.08,-0.2372949797003159
3.12,-0.21668707499793866
3.16,-0.19621888227318363
3.2,-0.1758884187359867
3.24,-0.1556965190287275
3.28,-0.1356455209123649
3.32,-0.11573799508076058
3.36,-0.09597561407494519
3.4,-0.07635832179798765
3.44,-0.05688405549780471
3.48,-0.037549240245924535
3.52,-0.01835000333886185
3.56,0.0007163753456569923
3.6,0.019650531329380726
3.64,0.038451176642732676
3.68,0.05711637044908488
3.72,0.07564536920199043
3.76,0.09404031979405884
3.8,0.11230719651043926
3.84,0.1304556744544598
3.88,0.14849794346000542
3.92,0.1664467494347292
3.96,0.184313159456492
4.0,0.20210462650497074
4.04,0.21982382846847123
4.08,0.23746847071117028
4.12,0.25503189541719334
4.16,0.2725041389994223
4.2,0.2898731187089038
4.24,0.3071258217739163
4.28,0.324249546325591
4.32,0.34123326707627677
4.36,0.3580690333924054
4.4,0.3747530768866823
4.44,0.39128622429583404
4.48,0.40767337687782074
4.52,0.4239221283233447
4.56,0.4400408725716179
4.6,0.4560368818216815
4.64,0.4719147877411837
4.68,0.487675729748251
4.72,0.5033172366808454
4.76,0.518833752629531
4.8,0.5342176221869064
4.84,0.5494603085389892
4.88,0.5645536273553367
4.92,0.5794908258857854
4.96,0.5942673771974071
5.0,0.6088813626164475
5.04,0.6233333190195921
5.08,0.6376255159974735
5.12,0.6517608250788092
5.16,0.6657415450729898
5.2,0.6795685969191617
5.24,0.6932413521939144
5.28,0.7067581232613261
5.32,0.7201171437917314
5.36,0.7333177393461259
5.4,0.7463613402365719
5.44,0.759252052138042
5.48,0.7719966523415577
5.52,0.7846040439154426
5.56,0.7970843245962835
5.6,0.8094477017376519
5.64,0.8217034920329911
5.68,0.8338593656709007
5.72,0.8459208637072607
5.76,0.8578911249559215
5.8,0.8697707639522624
5.84,0.8815579077778952
5.88,0.893248443474893
5.92,0.9048365115560655
5.96,0.9163152325178525
6.0,0.9276776109924771
6.04,0.9389175244509663
6.08,0.9500306496432378
6.12,0.9610151329372085
6.16,0.9718718320193639
6.2,0.9826040713588914
6.24,0.9932170133162957
6.28,1.0037168665505147
6.32,1.0141101695937438
6.36,1.0244032899989073
6.4,1.0346021279317976
6.44,1.0447119139248382
6.48,1.0547370137189909
6.52,1.0646807582838769
6.56,1.0745453953819433
6.6,1.0843322508577646
6.64,1.0940421183709652
6.68,1.103675808558902
6.72,1.1132347086567354
6.76,1.12272117096731
6.8,1.1321386050663649
6.84,1.1414912727703876
6.88,1.1507838912426223
6.92,1.1600211752895258
6.96,1.1692074095199338
7.0,1.1783460884166328
7.04,1.187439630257123
7.08,1.1964891655178935
7.12,1.205494422010332
7.16,1.2144537618594562
7.2,1.2233644333940705
7.24,1.2322230601111221
7.28,1.2410263118162521
7.32,1.2497716311270621
7.36,1.2584578616467774
7.4,1.2670856436071054
7.44,1.2756574775801888
7.48,1.2841773952739655
7.52,1.2926502366476857
7.56,1.3010806161254387
7.6,1.309471736221439
7.64,1.3178242480836018
7.68,1.326135364785687
7.72,1.334398410602494
7.76,1.3426029406564879
7.8,1.350735495937114
7.84,1.3587809704116185
7.88,1.366724455945006
7.92,1.374553306748453
7.96,1.3822590610369745
8.0,1.3898388241161945
8.04,1.3972958023421733
8.08,1.404638875594492
8.12,1.4118813219413864
8.16,1.419038966155571
8.2,1.4261280860228955
8.24,1.433163400954485
8.28,1.4401564127496114
8.32,1.4471142966590567
8.36,1.4540394768985003
8.4,1.4609299485583984
8.44,1.467780282189491
8.48,1.4745830670208637
8.52,1.4813303953022026
8.56,1.488014981967734
8.6,1.4946307086159722
8.64,1.5011726905763911
8.68,1.5076371839885265
8.72,1.5140216239085098
8.76,1.5203248642710836
8.8,1.526547470744632
8.84,1.532691842863113
8.88,1.5387620035967358
8.92,1.5447630148465268
8.96,1.5507001207743387
9.0,1.5565778627749003
9.04,1.562399463952545
9.08,1.5681666687051952
9.12,1.5738800069157204
9.16,1.579539305695277
9.2,1.585144279264026
9.24,1.5906950912292668
9.28,1.596192789028136
9.32,1.6016394924116453
9.36,1.6070382650940935
9.4,1.6123927029125604
9.44,1.6177063682766857
9.48,1.6229822465266917
9.52,1.6282223601216086
9.56,1.6334275580215982
9.6,1.6385974077186647
9.64,1.6437301591106315
9.68,1.6488228670773162
9.72,1.653871797821151
9.76,1.6588731395696115
9.8,1.663823879843956
9.84,1.668722624551928
9.88,1.673570150178343
9.92,1.6783695354905546
9.96,1.683125767736081
10.0,1.6878447984404816
10.04,1.692532180896954
10.08,1.697191608978985
10.12,1.7018237879496292
10.16,1.7064260391140529
10.2,1.7109928747811458
10.24,1.715517503601054
10.28,1.719993896450973
10.32,1.7244187861426488
10.36,1.7287929258902048
10.4,1.733121118193187
10.44,1.7374108602924347
10.48,1.7416698405654152
10.52,1.7459028872708415
10.56,1.7501091998777896
10.6,1.754280676839007
10.64,1.7584019245432143
10.68,1.7624522344907148
10.72,1.7664095411428777
10.76,1.7702560751221101
10.8,1.7739849998018464
10.84,1.7776067517600498
10.88,1.7811532541706148
10.92,1.7846779108255129
10.96,1.7882496111301325
