Time,Smoothed_Y_Position,Smoothed_Y_Speed,Smoothed_Y_Control
0.0,-1.8188262096553174,0.01705768653598727,20
0.04,-1.818143902193878,0.021883876944078784,20
0.08,-1.8172685471161147,0.02846094048360448,20
0.12,-1.8161301094967706,0.03718623367364726,20
0.16,-1.8146426601498247,0.04876859086339613,20
0.2,-1.8126919165152888,0.06397679559654867,20
0.24,-1.8101328446914269,0.08341847894188792,20
0.28,-1.8067961055337514,0.10739418881348661,20
0.32,-1.802500337981212,0.13583536259407225,20
0.36,-1.797066923477449,0.16830819083100135,20
0.4,-1.790334595844209,0.20405552403053862,20
0.44,-1.7821723748829874,0.24205315593410215,20
0.48,-1.7724902486456233,0.2810699740376732,20
0.52,-1.7612474496841164,0.31973644545953417,0
0.56,-1.748457991865735,0.356632266624346,0
0.6,-1.7341927012007612,0.3903971819749219,0
0.64,-1.7185768139217643,0.4198562775297676,0
0.68,-1.7017825628205736,0.444141800974468,0
0.72,-1.6840168907815949,0.4627888637697475,0
0.76,-1.665505336230805,0.47578108833798427,0
0.8,-1.6464740926972856,0.48352861821351345,0
0.84,-1.627132947968745,0.4867776060806017,0
0.88,-1.607661843725521,0.4864709868514172,0
0.92,-1.5882030042514643,0.4835950721001514,0
0.96,-1.5688592013674583,0.4790491199182678,0
1.0,-1.5496972365707276,0.4735645100994612,0
1.04,-1.530754656166749,0.46768096488252753,0
1.08,-1.512047417571448,0.4617685504991309,0
1.12,-1.4935766755514828,0.45607390286224736,0
1.16,-1.4753337194369929,0.4507683442601329,0
1.2,-1.4573029856665876,0.4459805872542799,0
1.24,-1.4394637621764164,0.44180543255243343,0
1.28,-1.421791544874319,0.43829195248407116,0
1.32,-1.4042598667749562,0.43542564840602926,0
1.36,-1.386842840838715,0.4331214883667889,0
1.4,-1.3695179813040435,0.4312369313100306,0
1.44,-1.3522685040516422,0.4296020375215204,0
1.48,-1.3350844225507814,0.42805486016833094,0
1.52,-1.3179622281440482,0.42646891169906276,0
1.56,-1.3009034716760857,0.42476564661642624,0
1.6,-1.2839128458114286,0.42291361984889697,0
1.64,-1.2669963010174727,0.4209206402818966,0
1.68,-1.2501594754061969,0.41882381284452097,0
1.72,-1.233406522892416,0.4166789610579147,0
1.76,-1.2167393644500994,0.41454978825028466,0
1.8,-1.200157372920088,0.41249751102252485,0
1.84,-1.183657472479187,0.41057119892783933,0
1.88,-1.1672346245220735,0.4087986651957032,0
1.92,-1.1508826779142454,0.4071793181541439,0
1.96,-1.1345955051880796,0.405682169776711,0
2.0,-1.1183682183970112,0.40425122930659585,0
2.04,-1.1021981692247473,0.40281720752082806,0
2.08,-1.0860854809239142,0.40131173789082486,0
2.12,-1.0700330114082812,0.39967978262208104,0
2.16,-1.054045820103398,0.39788730239901926,0
2.2,-1.0381303280074372,0.39592400720777077,0
2.24,-1.0222933677191264,0.3938034528490786,0
2.28,-1.0065412296051632,0.39156237292406193,0
2.32,-0.9908787346882008,0.3892580860946876,0
2.36,-0.9753084112444133,0.38696090202245403,0
2.4,-0.9598299751635151,0.38474035049489985,0
2.44,-0.9444403611437191,0.38264833178929536,0
2.48,-0.9291344278721473,0.3807056762859723,0
2.52,-0.9139062008207084,0.3788987184006387,0
2.56,-0.8987502520846828,0.37718874787924794,0
2.6,-0.8836627021695129,0.3755311807214279,0
2.64,-0.8686414549406558,0.3738960715594847,0
2.68,-0.8536856120782764,0.3722802663997521,0
2.72,-0.8387944014222863,0.370705552536571,0
2.76,-0.8239661793208235,0.36920452478865495,0
2.8,-0.8091979983292773,0.3678014148901204,0
2.84,-0.7944859417336725,0.3664957758301918,0
2.88,-0.7798261107004648,0.36525492455453945,0
2.92,-0.7652159137182832,0.364018836106339,0
2.96,-0.7506551602740297,0.36271699553497294,0
3.0,-0.7361464804526308,0.3612903840363918,0
3.04,-0.7216948650911751,0.35970854905088,0
3.08,-0.7073065231291399,0.35797486273730916,0
3.12,-0.6929875286196475,0.35611941623494014,0
3.16,-0.6787427519702499,0.35418436407870235,0
3.2,-0.6645753774071018,0.35220904621521276,0
3.24,-0.6504870155584933,0.35022066789975326,0
3.28,-0.6364781888425032,0.348231625280801,0
3.32,-0.6225489238312711,0.3462407952955687,0
3.36,-0.6086992920194484,0.34423620360869156,0
3.4,-0.5949298438751007,0.3421993577717247,0
3.44,-0.5812418695642317,0.34011352813083373,0
3.48,-0.5676373284389984,0.33797593101626555,0
3.52,-0.5541182911983478,0.33580825273118176,0
3.56,-0.5406859610891005,0.33365775794673425,0
3.6,-0.5273396507712311,0.3315862110080142,0
3.64,-0.5140762023309106,0.3296514105953968,0
3.68,-0.5008901459070947,0.3278893897907406,0
3.72,-0.48777457031546506,0.3263029926963326,0
3.76,-0.47472245060761176,0.324858297720218,0
3.8,-0.46172811869880304,0.32348782031916545,0
3.84,-0.4487886058860364,0.32209931307058265,0
3.88,-0.4359046333632131,0.32058966713210263,0
3.92,-0.423081046677929,0.31886312980604625,0
3.96,-0.41032652148568716,0.31685137534125524,0
4.0,-0.39765246647203695,0.31453099799592793,0
4.04,-0.38507122655219983,0.3119334700009732,0
4.08,-0.3725938877521609,0.3091442623612953,0
4.12,-0.3602281172577091,0.30629069676203075,0
4.16,-0.34797648938722786,0.3035207748445498,0
4.2,-0.33583565839344587,0.30097714810368714,0
4.24,-0.3237965724692984,0.2987714381584017,0
4.28,-0.3118457149429623,0.29696399984538435,0
4.32,-0.29996715494914694,0.2955530174797008,0
4.36,-0.2881450342499589,0.294475287932873,0
4.4,-0.276366022732644,0.2936193644924423,0
4.44,-0.2646212481529463,0.29284914832525266,0
4.48,-0.2529072822199362,0.29203272609258574,0
4.52,-0.24122597317623276,0.2910693007392509,0
4.56,-0.22958320114666272,0.2899079588938272,0
4.6,-0.21798688279090964,0.2885547125774136,0
4.64,-0.2064446942878131,0.28706664626969025,0
4.68,-0.19496202843702548,0.2855340478883049,0
4.72,-0.18354066652149328,0.28405506565020167,0
4.76,-0.17217846389548522,0.2827120592242958,0
4.8,-0.16086998152651338,0.28155923578976616,0
4.84,-0.14960761209492274,0.280624520305596,0
4.88,-0.1383826312826989,0.27991977278922425,0
4.92,-0.12718584037112993,0.2794492500307607,0
4.96,-0.1160078703698995,0.27920857670580523,0
5.0,-0.10483952730166729,0.27917377622190404,0
5.04,-0.09367257625279113,0.2792884334206897,0
5.08,-0.08250103891596354,0.27946046147139353,0
5.12,-0.0713226204571078,0.27957418287664937,0
5.16,-0.060139653142041824,0.2795132427456456,0
5.2,-0.048959123432216,0.27918413149689,0
5.24,-0.0377917581723404,0.278531704535371,0
5.28,-0.02665048999092556,0.2775434515328185,0
5.32,-0.015548751929612819,0.27624462839800545,0
5.36,-0.0044989667936926,0.27468958248301734,0
5.4,0.006488616505628094,0.27295393443017707,0
5.44,0.017406773882835177,0.27112827703011055,0
5.48,0.0282519049640396,0.2693107325940818,0
5.52,0.03902433426780287,0.26759623537874444,0
5.56,0.04972818368295265,0.26606338740218677,0
5.6,0.06037071917904012,0.2647621484107694,0
5.64,0.0709612051154709,0.2637063309036753,0
5.68,0.08150945835161791,0.26287373524663465,0
5.72,0.0920244077614833,0.2622140287456939,0
5.76,0.10251296891131105,0.2616618669080081,0
5.8,0.11297944358763137,0.26115176395773604,0
5.84,0.12342551414594082,0.26063118695231097,0
5.88,0.13385076162403325,0.2600687302465765,0
5.92,0.14425351083389631,0.2594559605630993,0
5.96,0.1546317492564203,0.2588042250242853,0
6.0,0.1649839182573917,0.2581390347237922,0
6.04,0.17530947964634339,0.25749366003769425,0
6.08,0.18560922604785116,0.2569020525858244,0
6.12,0.19588530815128413,0.2563910359674813,0
6.16,0.20614094958998339,0.25597286107844824,0
6.2,0.21637986403312132,0.2556400752034671,0
6.24,0.22660546704126,0.2553638827109787,0
6.28,0.23682002234969915,0.2550955393998959,0
6.32,0.24702384392569499,0.25476974173715,0
6.36,0.257214633595181,0.25430980288870114,0
6.4,0.26738702571072903,0.2536352661927588,0
6.44,0.2775324363584394,0.25267251103747723,0
6.48,0.28763933679993847,0.25136772570397425,0
6.52,0.29769404582809744,0.24969942796263522,0
6.56,0.30768202294660285,0.24768580638995924,0
6.6,0.3175894552022012,0.2453830998823875,0
6.64,0.3274047791974967,0.24287526254589825,0
6.68,0.33711978969933265,0.2402586532699466,0
6.72,0.3467301358301305,0.23762568616787355,0
6.76,0.35623516327684546,0.235050059179244,0
6.8,0.3656371656440152,0.2325761829138323,0
6.84,0.3749402129605685,0.23021598471332783,0
6.88,0.3841488523491016,0.22795461518085314,0
6.92,0.39326703695633575,0.22576288292758123,0
6.96,0.402297552273439,0.22361156672647403,0
7.0,0.41124201494249796,0.22148290283444533,0
7.04,0.42010133105587577,0.21937647408743766,0
7.08,0.4288763900193733,0.21730873696662323,0
7.12,0.4375687394980382,0.21530706030885027,0
7.16,0.4461810219103922,0.2134006037013983,0
7.2,0.45471704605844815,0.2116110527200482,0
7.24,0.4631814881672501,0.20994558068501423,0
7.28,0.47157931139465065,0.2083933082286743,0
7.32,0.4799150437237976,0.2069258064636731,0
7.36,0.48819207598234454,0.20550112708839913,0
7.4,0.4964121210658805,0.20406959889175125,0
7.44,0.5045749050215506,0.20258024383902895,0
7.48,0.5126781147751117,0.2009890383926738,0
7.52,0.5207176763108187,0.199270638113197,0
7.56,0.5286885018353465,0.197431564763495,0
7.6,0.5365857644258863,0.19551878694592795,0
7.64,0.5444065159037235,0.19361800762369985,0
7.68,0.5521512362086715,0.1918407502141395,0
7.72,0.559824866217237,0.19030417910892994,0
7.76,0.5674370333815942,0.18910952189935826,0
7.8,0.5750014142575686,0.18832444175782836,0
7.84,0.5825343919278817,0.1879731295459791,0
7.88,0.5900533171097209,0.18803564595157307,0
7.92,0.5975747429477838,0.18845526668593293,0
7.96,0.6051129536152211,0.18915035317303153,0
8.0,0.6126789677421424,0.1900269978837077,0
8.04,0.6202800476574907,0.19099027226174847,0
8.08,0.6279196585479606,0.19195363463766213,0
8.12,0.6355978039334671,0.192846551006573,0
8.16,0.64331166597373,0.19361992045849596,0
8.2,0.6510564627920699,0.19424867707594218,0
8.24,0.6588264098751075,0.1947312331547657,0
8.28,0.6666156592012982,0.19508551862537082,0
8.32,0.674419079946313,0.19534137078502378,0
8.36,0.682232734777714,0.19552990494910716,0
8.4,0.6900539309756782,0.19567231924021988,0
8.44,0.697880823745287,0.19577210461366734,0
8.48,0.7057117079298337,0.19581420454576615,0
8.52,0.7135442761116644,0.195771729250524,0
8.56,0.7213751452816853,0.195617204024634,0
8.6,0.7291998334426707,0.1953339155717826,0
8.64,0.737013190065542,0.1949242137107482,0
8.68,0.7448101586139719,0.19441325944207777,0
8.72,0.752586688991655,0.1938469829146222,0
8.76,0.7603405683082399,0.1932830142215458,0
8.8,0.7680718888771018,0.19277507278916417,0
8.84,0.7757828917886683,0.19235477056763484,0
8.88,0.7834770826113737,0.19201729296400294,0
8.92,0.7911577743299338,0.19171628397805507,0
8.96,0.798826425689056,0.19136942829128534,0
9.0,0.8064812028207075,0.19087305291224654,0
9.04,0.8141161249371973,0.19012275217270835,0
9.08,0.8217210350241057,0.18903625031695404,0
9.12,0.8292824850367838,0.18757396616366495,0
9.16,0.8367854436833304,0.1857527784075469,0
9.2,0.8442155548196323,0.18364940317163736,0
9.24,0.8515615309464978,0.18139130047712115,0
9.28,0.8588171829655826,0.179135526113941,0
9.32,0.8659826040101403,0.177039526592776,0
9.36,0.8730641850738513,0.17523102869094198,0
9.4,0.880073426221489,0.17378487781080365,0
9.44,0.8870248213339211,0.1727123347229631,0
9.48,0.8939333147228397,0.17196408431074672,0
9.52,0.9008118780952695,0.17144415986700134,0
9.56,0.9076696444899496,0.17103016474549204,0
9.6,0.9145108510797693,0.17059577088676114,0
9.64,0.9213346819152397,0.17003249797127584,0
9.68,0.9281359818340907,0.16926759602835795,0
9.72,0.9349066856752251,0.16827426393464795,0
9.76,0.941637656232611,0.1670712678034897,0
9.8,0.9483205069447506,0.1657116926349983,0
9.84,0.9549489746501505,0.1642637676632419,0
9.88,0.9615195253566802,0.16278885390379194,0
9.92,0.9680310795128318,0.1613220787681363,0
9.96,0.9744839626635573,0.1598601084293938,0
10.0,0.980878367000733,0.15835899389597952,0
10.04,0.9872127267565722,0.15674372198950515,0
10.08,0.9934824756361524,0.15493035992601156,0
10.12,0.9996796900331929,0.15286058592239582,0
10.16,1.0057941134700887,0.15054535807208502,0
10.2,1.0118159277929721,0.14810907676574003,0
10.24,1.0177402908636017,0.14581944407402458,0
10.28,1.0235730686265627,0.1440845629836096,0
10.32,1.029336451145907,0.1434011306589822,0
10.36,1.0350724963722664,0.1442469992116613,0
10.4,1.0408423763407328,0.14692585248480272,0
